timestamp,user,src_ip,dest_ip,event_type,process_name,file_hash,severity,ip_ip,ip_malicious_score,ip_threat_category,ip_confidence,hash_file_hash,hash_malicious_score,hash_threat_category,hash_confidence
2026-05-15 19:51:39.712104,user2,10.0.0.35,10.0.0.43,successful_login,powershell.exe,hash_192,low,10.0.0.29,63,unknown,73,,69,bruteforce,77
2026-05-15 20:00:12.712104,user2,10.0.0.41,10.0.0.39,malware_detected,winword.exe,,critical,10.0.0.41,73,bruteforce,67,hash_32,54,bruteforce,75
2026-05-15 20:00:44.712104,user19,10.0.0.40,10.0.0.25,suspicious_powershell,winword.exe,,low,10.0.0.10,17,benign,5,hash_110,76,phishing,84
2026-05-15 20:07:27.712104,user11,10.0.0.47,10.0.0.18,failed_login,chrome.exe,,low,10.0.0.21,25,benign,33,,1,benign,26
2026-05-15 20:11:41.712104,user6,10.0.0.35,10.0.0.15,lateral_movement,svchost.exe,,low,10.0.0.27,29,benign,20,,21,benign,3
2026-05-15 20:15:32.712104,user17,10.0.0.3,10.0.0.40,suspicious_powershell,chrome.exe,,low,10.0.0.3,57,unknown,64,,55,bruteforce,63
2026-05-15 20:38:47.712104,user6,10.0.0.43,10.0.0.14,failed_login,chrome.exe,,low,10.0.0.18,94,bruteforce,83,hash_87,54,bruteforce,85
2026-05-15 20:39:25.712104,user4,10.0.0.9,10.0.0.6,lateral_movement,svchost.exe,,medium,10.0.0.46,39,benign,18,,81,ransomware,59
2026-05-15 20:44:19.712104,user17,10.0.0.47,10.0.0.18,successful_login,cmd.exe,hash_47,medium,10.0.0.21,62,unknown,90,,100,bruteforce,92
2026-05-15 20:57:42.712104,user7,10.0.0.28,10.0.0.37,lateral_movement,powershell.exe,,medium,10.0.0.12,23,benign,46,,19,benign,1
2026-05-15 21:01:35.712104,user14,10.0.0.14,10.0.0.13,successful_login,winword.exe,,low,10.0.0.44,42,ransomware,71,,84,botnet,53
2026-05-15 21:08:08.712104,user14,10.0.0.30,10.0.0.50,successful_login,chrome.exe,,high,10.0.0.2,21,benign,42,,44,ransomware,95
2026-05-15 21:27:27.712104,user4,10.0.0.11,10.0.0.8,successful_login,svchost.exe,,medium,10.0.0.5,84,bruteforce,81,,81,unknown,57
2026-05-15 21:34:24.712104,user9,10.0.0.21,10.0.0.13,successful_login,winword.exe,,high,10.0.0.46,9,benign,11,,19,benign,10
2026-05-15 21:38:31.712104,user4,10.0.0.47,10.0.0.26,failed_login,chrome.exe,,high,10.0.0.23,7,benign,26,,55,bruteforce,98
2026-05-15 21:41:33.712104,user8,10.0.0.3,10.0.0.46,successful_login,winword.exe,hash_37,low,10.0.0.48,59,unknown,83,hash_144,95,phishing,66
2026-05-15 21:47:21.712104,user9,10.0.0.21,10.0.0.27,successful_login,svchost.exe,,high,10.0.0.6,81,botnet,57,,61,ransomware,58
2026-05-15 21:50:45.712104,user13,10.0.0.49,10.0.0.49,lateral_movement,winword.exe,,low,10.0.0.21,36,benign,2,,73,phishing,100
2026-05-15 21:55:37.712104,user17,10.0.0.39,10.0.0.34,failed_login,powershell.exe,,low,10.0.0.50,61,botnet,96,,11,benign,45
2026-05-15 22:01:38.712104,user8,10.0.0.38,10.0.0.42,failed_login,powershell.exe,hash_89,medium,10.0.0.1,34,benign,3,,45,bruteforce,51
2026-05-15 22:05:06.712104,user3,10.0.0.2,10.0.0.4,successful_login,winword.exe,,low,10.0.0.15,4,benign,25,,39,benign,44
2026-05-15 22:08:05.712104,user12,10.0.0.14,10.0.0.8,malware_detected,winword.exe,,medium,10.0.0.38,78,ransomware,63,,22,benign,0
2026-05-15 22:12:44.712104,user16,10.0.0.3,10.0.0.47,malware_detected,powershell.exe,,low,10.0.0.43,87,botnet,90,,99,phishing,62
2026-05-15 22:37:22.712104,user1,10.0.0.16,10.0.0.34,lateral_movement,chrome.exe,hash_129,high,10.0.0.26,66,ransomware,63,,98,phishing,77
2026-05-15 22:42:17.712104,user3,10.0.0.44,10.0.0.25,privilege_escalation,cmd.exe,,critical,10.0.0.7,51,phishing,91,,27,benign,24
2026-05-15 22:54:31.712104,user18,10.0.0.15,10.0.0.34,suspicious_powershell,cmd.exe,,low,10.0.0.37,34,benign,0,,68,bruteforce,58
2026-05-15 23:04:59.712104,user17,10.0.0.29,10.0.0.29,successful_login,chrome.exe,,medium,10.0.0.8,19,benign,26,hash_81,80,ransomware,55
2026-05-15 23:06:57.712104,user16,10.0.0.49,10.0.0.47,successful_login,powershell.exe,hash_124,low,10.0.0.5,72,phishing,61,,31,benign,2
2026-05-15 23:16:40.712104,user7,10.0.0.18,10.0.0.7,failed_login,winword.exe,,high,10.0.0.42,54,bruteforce,71,hash_158,59,botnet,88
2026-05-15 23:17:55.712104,user13,10.0.0.48,10.0.0.6,malware_detected,chrome.exe,,low,10.0.0.3,92,botnet,56,,96,phishing,59
2026-05-15 23:20:50.712104,user8,10.0.0.10,10.0.0.3,failed_login,powershell.exe,hash_69,low,10.0.0.20,79,ransomware,86,,43,ransomware,59
2026-05-15 23:24:23.712104,user2,10.0.0.30,10.0.0.10,impossible_travel,svchost.exe,,medium,10.0.0.47,74,ransomware,76,hash_47,77,bruteforce,95
2026-05-15 23:25:19.712104,user5,10.0.0.48,10.0.0.18,failed_login,cmd.exe,,medium,10.0.0.37,41,phishing,66,,26,benign,31
2026-05-15 23:30:34.712104,user13,10.0.0.10,10.0.0.20,successful_login,cmd.exe,,low,10.0.0.22,43,bruteforce,68,,63,botnet,86
2026-05-15 23:30:50.712104,user15,10.0.0.29,10.0.0.29,successful_login,winword.exe,,low,10.0.0.35,17,benign,26,,20,benign,10
2026-05-15 23:44:21.712104,user18,10.0.0.1,10.0.0.16,successful_login,svchost.exe,hash_116,medium,10.0.0.3,83,ransomware,80,,72,bruteforce,76
2026-05-15 23:49:15.712104,user15,10.0.0.48,10.0.0.36,impossible_travel,winword.exe,,low,10.0.0.31,87,phishing,59,hash_70,39,benign,13
2026-05-15 23:51:07.712104,user9,10.0.0.21,10.0.0.1,malware_detected,chrome.exe,,high,10.0.0.44,45,botnet,100,,1,benign,1
2026-05-16 00:06:30.712104,user14,10.0.0.22,10.0.0.13,successful_login,cmd.exe,,critical,10.0.0.35,86,phishing,78,hash_192,81,botnet,77
2026-05-16 00:48:58.712104,user18,10.0.0.42,10.0.0.14,malware_detected,chrome.exe,,medium,10.0.0.38,8,benign,31,hash_165,75,unknown,72
2026-05-16 00:54:47.712104,user8,10.0.0.42,10.0.0.22,suspicious_powershell,cmd.exe,,medium,10.0.0.36,65,bruteforce,80,,93,bruteforce,87
2026-05-16 01:07:52.712104,user1,10.0.0.12,10.0.0.18,failed_login,chrome.exe,,medium,10.0.0.39,4,benign,19,,48,bruteforce,77
2026-05-16 01:09:25.712104,user17,10.0.0.9,10.0.0.24,privilege_escalation,chrome.exe,,low,10.0.0.29,21,benign,20,,26,benign,13
2026-05-16 01:12:16.712104,user2,10.0.0.10,10.0.0.14,suspicious_powershell,powershell.exe,,high,10.0.0.8,93,botnet,52,hash_87,50,phishing,82
2026-05-16 01:12:47.712104,user3,10.0.0.26,10.0.0.27,successful_login,cmd.exe,,high,10.0.0.19,35,benign,7,,44,bruteforce,88
2026-05-16 01:12:52.712104,user2,10.0.0.28,10.0.0.32,successful_login,svchost.exe,,low,10.0.0.41,84,botnet,63,,74,ransomware,74
2026-05-16 01:13:16.712104,user15,10.0.0.3,10.0.0.44,impossible_travel,winword.exe,,high,10.0.0.40,76,phishing,80,,63,botnet,81
2026-05-16 01:13:28.712104,user1,10.0.0.21,10.0.0.29,lateral_movement,winword.exe,,critical,10.0.0.37,63,botnet,76,hash_81,29,benign,17
2026-05-16 01:17:13.712104,user12,10.0.0.21,10.0.0.13,successful_login,cmd.exe,,critical,10.0.0.30,51,unknown,64,hash_163,56,unknown,56
2026-05-16 01:17:56.712104,user17,10.0.0.48,10.0.0.39,impossible_travel,powershell.exe,,low,10.0.0.48,49,unknown,80,,38,benign,42
2026-05-16 01:38:16.712104,user6,10.0.0.27,10.0.0.18,suspicious_powershell,powershell.exe,,medium,10.0.0.44,7,benign,44,,60,unknown,76
2026-05-16 01:40:43.712104,user6,10.0.0.6,10.0.0.22,successful_login,powershell.exe,,low,10.0.0.13,56,unknown,92,,99,bruteforce,92
2026-05-16 01:44:48.712104,user15,10.0.0.35,10.0.0.8,lateral_movement,svchost.exe,hash_7,low,10.0.0.16,66,ransomware,52,hash_192,59,botnet,95
2026-05-16 01:48:32.712104,user5,10.0.0.27,10.0.0.7,failed_login,winword.exe,hash_162,low,10.0.0.36,37,benign,28,,75,phishing,63
2026-05-16 01:48:57.712104,user16,10.0.0.43,10.0.0.49,malware_detected,chrome.exe,,low,10.0.0.35,62,unknown,80,,94,phishing,97
2026-05-16 01:50:13.712104,user9,10.0.0.20,10.0.0.11,failed_login,chrome.exe,hash_27,low,10.0.0.40,21,benign,25,,39,benign,36
2026-05-16 02:04:30.712104,user17,10.0.0.30,10.0.0.2,successful_login,svchost.exe,,high,10.0.0.5,89,phishing,56,,59,botnet,54
2026-05-16 02:11:48.712104,user5,10.0.0.29,10.0.0.2,malware_detected,svchost.exe,,medium,10.0.0.26,35,benign,5,,42,bruteforce,76
2026-05-16 02:12:23.712104,user18,10.0.0.30,10.0.0.24,suspicious_powershell,svchost.exe,,critical,10.0.0.15,79,ransomware,68,,93,bruteforce,58
2026-05-16 02:20:43.712104,user12,10.0.0.31,10.0.0.39,successful_login,svchost.exe,hash_32,high,10.0.0.25,14,benign,17,,9,benign,19
2026-05-16 02:27:43.712104,user17,10.0.0.43,10.0.0.45,impossible_travel,winword.exe,,low,10.0.0.47,38,benign,8,hash_104,93,unknown,96
2026-05-16 02:40:03.712104,user14,10.0.0.26,10.0.0.28,successful_login,powershell.exe,,low,10.0.0.8,27,benign,43,,76,botnet,67
2026-05-16 02:42:17.712104,user14,10.0.0.50,10.0.0.25,impossible_travel,chrome.exe,,medium,10.0.0.9,41,unknown,98,,26,benign,28
2026-05-16 02:42:34.712104,user9,10.0.0.25,10.0.0.18,successful_login,chrome.exe,hash_47,medium,10.0.0.8,93,botnet,60,,17,benign,26
2026-05-16 02:53:03.712104,user16,10.0.0.46,10.0.0.43,successful_login,svchost.exe,,high,10.0.0.36,95,phishing,97,,28,benign,24
2026-05-16 03:05:50.712104,user19,10.0.0.28,10.0.0.3,privilege_escalation,chrome.exe,,high,10.0.0.30,96,unknown,86,,3,benign,5
2026-05-16 03:29:44.712104,user4,10.0.0.47,10.0.0.28,successful_login,chrome.exe,,medium,10.0.0.41,4,benign,0,,71,botnet,92
2026-05-16 03:30:14.712104,user10,10.0.0.14,10.0.0.11,failed_login,winword.exe,,medium,10.0.0.46,29,benign,48,,61,unknown,78
2026-05-16 03:43:09.712104,user18,10.0.0.42,10.0.0.26,successful_login,winword.exe,,low,10.0.0.9,13,benign,33,,99,unknown,98
2026-05-16 03:43:17.712104,user15,10.0.0.49,10.0.0.2,impossible_travel,powershell.exe,hash_119,high,10.0.0.30,89,phishing,61,,18,benign,36
2026-05-16 03:43:32.712104,user7,10.0.0.26,10.0.0.9,failed_login,svchost.exe,,medium,10.0.0.18,69,bruteforce,95,,100,unknown,72
2026-05-16 03:52:21.712104,user5,10.0.0.18,10.0.0.50,impossible_travel,winword.exe,,medium,10.0.0.30,23,benign,3,,73,bruteforce,54
2026-05-16 03:55:19.712104,user14,10.0.0.23,10.0.0.35,failed_login,cmd.exe,hash_148,low,10.0.0.40,96,ransomware,56,,76,phishing,79
2026-05-16 03:59:59.712104,user20,10.0.0.36,10.0.0.36,successful_login,svchost.exe,,low,10.0.0.43,3,benign,3,,83,botnet,51
2026-05-16 04:01:58.712104,user12,10.0.0.27,10.0.0.25,failed_login,svchost.exe,,high,10.0.0.47,46,phishing,71,,10,benign,16
2026-05-16 04:12:00.712104,user12,10.0.0.8,10.0.0.12,successful_login,cmd.exe,hash_99,low,10.0.0.14,34,benign,10,,7,benign,18
2026-05-16 04:19:16.712104,user20,10.0.0.44,10.0.0.32,malware_detected,cmd.exe,,critical,10.0.0.32,48,botnet,57,,68,bruteforce,82
2026-05-16 04:34:38.712104,user4,10.0.0.18,10.0.0.27,successful_login,svchost.exe,,low,10.0.0.13,74,botnet,51,,27,benign,16
2026-05-16 04:37:41.712104,user19,10.0.0.27,10.0.0.8,successful_login,powershell.exe,hash_186,medium,10.0.0.37,38,benign,1,,51,phishing,96
2026-05-16 04:40:22.712104,user20,10.0.0.6,10.0.0.20,successful_login,cmd.exe,,low,10.0.0.30,50,phishing,91,,59,ransomware,52
2026-05-16 04:43:45.712104,user11,10.0.0.35,10.0.0.7,failed_login,cmd.exe,,medium,10.0.0.33,32,benign,44,,11,benign,24
2026-05-16 04:44:27.712104,user18,10.0.0.24,10.0.0.27,successful_login,svchost.exe,,low,10.0.0.22,75,bruteforce,57,,88,ransomware,59
2026-05-16 04:48:14.712104,user11,10.0.0.21,10.0.0.10,failed_login,svchost.exe,,low,10.0.0.15,59,bruteforce,58,hash_128,66,phishing,81
2026-05-16 04:50:10.712104,user3,10.0.0.42,10.0.0.8,successful_login,svchost.exe,,low,10.0.0.31,52,botnet,51,hash_136,48,phishing,72
2026-05-16 04:57:42.712104,user7,10.0.0.19,10.0.0.23,failed_login,cmd.exe,,low,10.0.0.3,42,phishing,70,,93,botnet,61
2026-05-16 05:09:01.712104,user5,10.0.0.17,10.0.0.27,successful_login,powershell.exe,,medium,10.0.0.11,49,ransomware,61,hash_127,11,benign,33
2026-05-16 05:12:59.712104,user11,10.0.0.48,10.0.0.2,failed_login,powershell.exe,,medium,10.0.0.18,8,benign,26,,84,botnet,59
2026-05-16 05:13:08.712104,user1,10.0.0.9,10.0.0.32,suspicious_powershell,powershell.exe,hash_167,low,10.0.0.50,54,ransomware,89,,48,bruteforce,77
2026-05-16 05:36:56.712104,user7,10.0.0.13,10.0.0.29,successful_login,cmd.exe,,medium,10.0.0.10,64,unknown,84,,80,unknown,74
2026-05-16 05:38:40.712104,user6,10.0.0.14,10.0.0.24,suspicious_powershell,powershell.exe,hash_46,medium,10.0.0.26,31,benign,3,,89,bruteforce,78
2026-05-16 05:46:10.712104,user7,10.0.0.1,10.0.0.41,failed_login,svchost.exe,,critical,10.0.0.49,37,benign,38,,86,phishing,98
2026-05-16 05:46:58.712104,user7,10.0.0.42,10.0.0.1,malware_detected,svchost.exe,,medium,10.0.0.5,26,benign,33,,59,bruteforce,59
2026-05-16 05:49:09.712104,user11,10.0.0.20,10.0.0.20,successful_login,chrome.exe,,medium,10.0.0.27,22,benign,26,,4,benign,45
2026-05-16 05:55:45.712104,user12,10.0.0.25,10.0.0.33,failed_login,cmd.exe,,medium,10.0.0.37,55,unknown,93,,51,unknown,78
2026-05-16 05:56:09.712104,user16,10.0.0.10,10.0.0.18,malware_detected,powershell.exe,,medium,10.0.0.45,97,botnet,69,,39,benign,5
2026-05-16 05:59:45.712104,user3,10.0.0.9,10.0.0.26,successful_login,winword.exe,,medium,10.0.0.36,13,benign,46,,71,ransomware,91
2026-05-16 06:08:09.712104,user1,10.0.0.3,10.0.0.12,successful_login,svchost.exe,,low,10.0.0.35,70,bruteforce,83,,32,benign,36
2026-05-16 06:19:32.712104,user17,10.0.0.23,10.0.0.32,successful_login,cmd.exe,,high,10.0.0.21,93,unknown,51,,1,benign,9
2026-05-16 06:32:21.712104,user11,10.0.0.18,10.0.0.9,successful_login,winword.exe,,low,10.0.0.14,67,phishing,71,,30,benign,31
2026-05-16 06:34:03.712104,user18,10.0.0.5,10.0.0.41,successful_login,powershell.exe,,high,10.0.0.14,49,phishing,53,,29,benign,45
2026-05-16 06:38:49.712104,user10,10.0.0.18,10.0.0.40,suspicious_powershell,svchost.exe,,low,10.0.0.43,4,benign,31,,8,benign,11
2026-05-16 06:43:28.712104,user18,10.0.0.3,10.0.0.40,suspicious_powershell,svchost.exe,,medium,10.0.0.23,11,benign,41,,43,unknown,52
2026-05-16 06:49:16.712104,user20,10.0.0.48,10.0.0.32,lateral_movement,powershell.exe,,low,10.0.0.48,34,benign,26,,81,unknown,80
2026-05-16 07:04:55.712104,user4,10.0.0.34,10.0.0.37,successful_login,powershell.exe,,high,10.0.0.35,92,bruteforce,69,,15,benign,37
2026-05-16 07:13:14.712104,user2,10.0.0.32,10.0.0.10,successful_login,chrome.exe,,low,10.0.0.30,79,phishing,96,hash_60,50,botnet,64
2026-05-16 07:18:04.712104,user5,10.0.0.37,10.0.0.11,failed_login,chrome.exe,,low,10.0.0.8,3,benign,39,hash_197,53,unknown,52
2026-05-16 07:20:33.712104,user8,10.0.0.34,10.0.0.44,privilege_escalation,powershell.exe,,low,10.0.0.15,39,benign,47,,42,ransomware,99
2026-05-16 07:30:03.712104,user9,10.0.0.10,10.0.0.19,failed_login,winword.exe,hash_110,medium,10.0.0.26,16,benign,24,,3,benign,21
2026-05-16 07:34:15.712104,user2,10.0.0.15,10.0.0.25,failed_login,chrome.exe,,low,10.0.0.21,26,benign,22,,99,unknown,78
2026-05-16 07:58:57.712104,user1,10.0.0.49,10.0.0.3,successful_login,chrome.exe,,medium,10.0.0.26,81,bruteforce,93,hash_89,90,phishing,64
2026-05-16 08:08:47.712104,user6,10.0.0.46,10.0.0.9,privilege_escalation,winword.exe,,medium,10.0.0.30,89,botnet,50,,70,unknown,69
2026-05-16 08:28:07.712104,user5,10.0.0.20,10.0.0.47,failed_login,svchost.exe,hash_200,low,10.0.0.41,0,benign,41,,99,unknown,76
2026-05-16 08:38:20.712104,user6,10.0.0.39,10.0.0.16,impossible_travel,cmd.exe,,low,10.0.0.19,55,unknown,66,hash_24,99,bruteforce,82
2026-05-16 08:38:49.712104,user11,10.0.0.6,10.0.0.45,successful_login,chrome.exe,,low,10.0.0.50,99,botnet,80,,88,botnet,83
2026-05-16 08:39:38.712104,user10,10.0.0.5,10.0.0.10,successful_login,winword.exe,,low,10.0.0.10,9,benign,16,,4,benign,27
2026-05-16 09:03:01.712104,user7,10.0.0.49,10.0.0.44,failed_login,cmd.exe,,low,10.0.0.34,57,botnet,96,,87,botnet,79
2026-05-16 09:03:05.712104,user16,10.0.0.1,10.0.0.30,failed_login,winword.exe,,low,10.0.0.37,62,bruteforce,80,,88,bruteforce,96
2026-05-16 09:03:59.712104,user4,10.0.0.7,10.0.0.39,malware_detected,svchost.exe,,low,10.0.0.23,68,unknown,54,hash_148,82,botnet,50
2026-05-16 09:08:36.712104,user4,10.0.0.14,10.0.0.37,impossible_travel,svchost.exe,,low,10.0.0.15,43,botnet,68,,64,ransomware,63
2026-05-16 09:09:15.712104,user20,10.0.0.16,10.0.0.16,malware_detected,cmd.exe,,medium,10.0.0.40,39,benign,24,hash_165,48,botnet,60
2026-05-16 09:22:46.712104,user5,10.0.0.7,10.0.0.47,successful_login,powershell.exe,,low,10.0.0.3,88,unknown,86,,80,bruteforce,63
2026-05-16 09:38:01.712104,user15,10.0.0.11,10.0.0.13,successful_login,winword.exe,,low,10.0.0.17,81,botnet,72,,17,benign,28
2026-05-16 09:43:20.712104,user4,10.0.0.21,10.0.0.40,successful_login,winword.exe,,medium,10.0.0.19,99,bruteforce,76,,3,benign,16
2026-05-16 09:59:51.712104,user20,10.0.0.4,10.0.0.21,suspicious_powershell,powershell.exe,,low,10.0.0.7,28,benign,17,,36,benign,39
2026-05-16 10:06:42.712104,user2,10.0.0.5,10.0.0.39,successful_login,winword.exe,hash_56,medium,10.0.0.28,78,ransomware,83,,69,bruteforce,85
2026-05-16 10:13:32.712104,user1,10.0.0.20,10.0.0.17,failed_login,cmd.exe,,low,10.0.0.31,60,ransomware,93,,71,botnet,95
2026-05-16 10:20:17.712104,user19,10.0.0.44,10.0.0.7,malware_detected,winword.exe,,medium,10.0.0.4,19,benign,19,,8,benign,1
2026-05-16 10:21:29.712104,user11,10.0.0.43,10.0.0.50,successful_login,cmd.exe,,medium,10.0.0.1,41,ransomware,88,,57,bruteforce,60
2026-05-16 10:22:20.712104,user20,10.0.0.33,10.0.0.35,impossible_travel,cmd.exe,,low,10.0.0.45,57,ransomware,94,,37,benign,42
2026-05-16 10:23:44.712104,user9,10.0.0.10,10.0.0.31,successful_login,chrome.exe,,low,10.0.0.43,26,benign,31,,67,ransomware,88
2026-05-16 10:35:30.712104,user8,10.0.0.24,10.0.0.43,failed_login,chrome.exe,,medium,10.0.0.40,51,phishing,70,,73,botnet,60
2026-05-16 10:35:42.712104,user14,10.0.0.8,10.0.0.45,successful_login,chrome.exe,,low,10.0.0.41,48,botnet,96,,62,phishing,57
2026-05-16 10:44:19.712104,user14,10.0.0.41,10.0.0.3,failed_login,svchost.exe,hash_2,medium,10.0.0.40,26,benign,17,hash_42,20,benign,38
2026-05-16 10:45:01.712104,user18,10.0.0.24,10.0.0.14,lateral_movement,svchost.exe,hash_166,medium,10.0.0.20,70,botnet,90,,66,ransomware,79
2026-05-16 10:45:34.712104,user13,10.0.0.35,10.0.0.24,lateral_movement,chrome.exe,,high,10.0.0.1,55,botnet,67,,65,ransomware,88
2026-05-16 10:51:54.712104,user17,10.0.0.10,10.0.0.18,lateral_movement,winword.exe,hash_117,low,10.0.0.10,21,benign,16,,25,benign,34
2026-05-16 10:52:57.712104,user20,10.0.0.14,10.0.0.34,failed_login,powershell.exe,,medium,10.0.0.34,18,benign,32,,94,ransomware,50
2026-05-16 11:02:17.712104,user9,10.0.0.39,10.0.0.43,suspicious_powershell,powershell.exe,,low,10.0.0.5,38,benign,46,,19,benign,6
2026-05-16 11:02:21.712104,user1,10.0.0.5,10.0.0.11,malware_detected,winword.exe,hash_161,medium,10.0.0.18,32,benign,14,,36,benign,48
2026-05-16 11:04:04.712104,user20,10.0.0.1,10.0.0.2,successful_login,winword.exe,,medium,10.0.0.31,23,benign,5,,13,benign,12
2026-05-16 11:08:37.712104,user18,10.0.0.37,10.0.0.46,impossible_travel,svchost.exe,,low,10.0.0.23,44,unknown,83,,80,botnet,79
2026-05-16 11:09:11.712104,user10,10.0.0.31,10.0.0.5,successful_login,powershell.exe,hash_136,low,10.0.0.48,9,benign,7,hash_118,75,bruteforce,91
2026-05-16 11:18:38.712104,user2,10.0.0.10,10.0.0.22,successful_login,chrome.exe,hash_133,low,10.0.0.46,27,benign,21,,58,ransomware,55
2026-05-16 11:19:59.712104,user18,10.0.0.6,10.0.0.19,malware_detected,powershell.exe,,low,10.0.0.45,22,benign,30,,34,benign,5
2026-05-16 11:20:32.712104,user12,10.0.0.17,10.0.0.7,failed_login,chrome.exe,,high,10.0.0.40,15,benign,3,,13,benign,46
2026-05-16 11:31:17.712104,user11,10.0.0.12,10.0.0.35,impossible_travel,powershell.exe,,low,10.0.0.16,34,benign,42,hash_16,86,ransomware,57
2026-05-16 11:32:06.712104,user2,10.0.0.36,10.0.0.45,failed_login,winword.exe,,low,10.0.0.16,29,benign,13,,8,benign,23
2026-05-16 11:35:56.712104,user12,10.0.0.5,10.0.0.19,successful_login,winword.exe,hash_53,medium,10.0.0.39,49,botnet,57,,4,benign,3
2026-05-16 11:41:52.712104,user7,10.0.0.3,10.0.0.40,impossible_travel,chrome.exe,,medium,10.0.0.47,89,ransomware,93,,4,benign,49
2026-05-16 11:50:40.712104,user15,10.0.0.13,10.0.0.9,malware_detected,winword.exe,,high,10.0.0.19,84,botnet,57,hash_65,86,phishing,51
2026-05-16 11:52:28.712104,user3,10.0.0.8,10.0.0.17,successful_login,svchost.exe,,medium,10.0.0.24,82,unknown,57,,58,ransomware,65
2026-05-16 11:57:09.712104,user14,10.0.0.9,10.0.0.5,successful_login,chrome.exe,,low,10.0.0.38,65,bruteforce,76,,20,benign,33
2026-05-16 12:04:02.712104,user5,10.0.0.24,10.0.0.18,failed_login,svchost.exe,,low,10.0.0.44,52,unknown,65,,31,benign,25
2026-05-16 12:09:33.712104,user6,10.0.0.39,10.0.0.35,failed_login,cmd.exe,,low,10.0.0.36,57,phishing,96,,41,botnet,68
2026-05-16 12:17:02.712104,user2,10.0.0.50,10.0.0.36,successful_login,svchost.exe,,high,10.0.0.13,73,phishing,87,,29,benign,17
2026-05-16 12:17:25.712104,user16,10.0.0.4,10.0.0.29,successful_login,cmd.exe,,low,10.0.0.19,1,benign,39,,44,bruteforce,97
